icao,iata,name,city,country,lat,lon
EGLL,LHR,London Heathrow Airport,London,GB,51.470748,-0.459909
KLAX,LAX,Los Angeles International Airport,Los Angeles,US,33.942501,-118.407997
KORD,ORD,Chicago O'Hare International Airport,Chicago,US,41.9786,-87.9048
KJFK,JFK,John F. Kennedy International Airport,New York,US,40.639447,-73.779317
KATL,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,US,33.6367,-84.428101
LFPG,CDG,Charles de Gaulle International Airport,"Paris (Roissy-en-France, Val-d'Oise)",FR,49.00896,2.554117
KSFO,SFO,San Francisco International Airport,San Francisco,US,37.619806,-122.374821
EHAM,AMS,Amsterdam Airport Schiphol,Amsterdam,NL,52.308601,4.76389
EDDF,FRA,Frankfurt Main Airport,Frankfurt am Main,DE,50.026706,8.55835
KDFW,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,US,32.896801,-97.038002
KEWR,EWR,Newark Liberty International Airport,Newark,US,40.6894,-74.170545
KLAS,LAS,Harry Reid International Airport,Las Vegas,US,36.083361,-115.151817
KMCO,MCO,Orlando International Airport,Orlando,US,28.429399490356445,-81.30899810791016
KDEN,DEN,Denver International Airport,Denver,US,39.860027,-104.673792
KMIA,MIA,Miami International Airport,Miami,US,25.796011,-80.289751
KIAD,IAD,Washington Dulles International Airport,Dulles,US,38.9445,-77.455803
KLGA,LGA,LaGuardia Airport,New York,US,40.777199,-73.872597
KBOS,BOS,Boston Logan International Airport,Boston,US,42.36197,-71.0079
KSEA,SEA,Seattle–Tacoma International Airport,Seattle,US,47.447943,-122.310276
KPHX,PHX,Phoenix Sky Harbor International Airport,Phoenix,US,33.435302,-112.005905
KPHL,PHL,Philadelphia International Airport,Philadelphia,US,39.871899,-75.241096
KCLT,CLT,Charlotte Douglas International Airport,Charlotte,US,35.2140007019043,-80.94309997558594
EGKK,LGW,London Gatwick Airport,London,GB,51.148744,-0.185739
KIAH,IAH,George Bush Intercontinental Airport,Houston,US,29.9844,-95.3414
KDCA,DCA,Ronald Reagan Washington National Airport,Washington,US,38.8521,-77.037697
KDTW,DTW,Detroit Metropolitan Wayne County Airport,Detroit,US,42.21377,-83.353786
CYYZ,YYZ,Toronto Pearson International Airport,Toronto,CA,43.675935,-79.629421
KMSP,MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,Minneapolis,US,44.880081,-93.221741
LEBL,BCN,Josep Tarradellas Barcelona-El Prat Airport,Barcelona,ES,41.2971,2.07846
EDDM,MUC,Munich Airport,Munich,DE,48.353802,11.7861
LIRF,FCO,Rome–Fiumicino Leonardo da Vinci International Airport,Rome,IT,41.804532,12.251998
LEMD,MAD,Adolfo Suárez Madrid–Barajas Airport,Madrid,ES,40.493407,-3.572249
KSLC,SLC,Salt Lake City International Airport,Salt Lake City,US,40.78886,-111.979866
KFLL,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,US,26.072599,-80.152702
KSAN,SAN,San Diego International Airport,San Diego,US,32.733601,-117.190002
KMDW,MDW,Chicago Midway International Airport,Chicago,US,41.785999,-87.752403
KBWI,BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,US,39.1754,-76.668297
EIDW,DUB,Dublin Airport,Dublin,IE,53.428713,-6.262121
EKCH,CPH,Copenhagen Kastrup Airport,Copenhagen,DK,55.617900848389,12.656000137329
LSZH,ZRH,Zürich Airport,Zurich,CH,47.458056,8.548056
EBBR,BRU,Brussels Airport,Zaventem,BE,50.901402,4.48444
OMDB,DXB,Dubai International Airport,Dubai,AE,25.24979,55.370992
LOWW,VIE,Vienna International Airport,Vienna,AT,48.110298,16.5697
EGSS,STN,London Stansted Airport,"London, Essex",GB,51.884998,0.235
KSTL,STL,St. Louis Lambert International Airport,St Louis,US,38.748697,-90.370003
CYVR,YVR,Vancouver International Airport,Vancouver,CA,49.193901,-123.183998
WSSS,SIN,Singapore Changi Airport,Singapore,SG,1.35019,103.994003
PHNL,HNL,Daniel K. Inouye International Airport,"Honolulu, Oahu",US,21.318387,-157.92567
RJAA,NRT,Narita International Airport,Narita,JP,35.76858,140.388714
KPDX,PDX,Portland International Airport,Portland,US,45.588699,-122.598
KMSY,MSY,Louis Armstrong New Orleans International Airport,New Orleans,US,29.993401,-90.264673
LPPT,LIS,Lisbon Humberto Delgado Airport,Lisbon,PT,38.7813,-9.13592
CYUL,YUL,Montreal / Pierre Elliott Trudeau International Airport,Montréal,CA,45.467837,-73.742294
KBNA,BNA,Nashville International Airport,Nashville,US,36.1245,-86.6782
KTPA,TPA,Tampa International Airport,Tampa,US,27.9755,-82.533203
ESSA,ARN,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829
VHHH,HKG,Hong Kong International Airport,Hong Kong,HK,22.31184,113.914862
LKPR,PRG,Václav Havel Airport Prague,Prague,CZ,50.100874,14.259911
KCVG,CVG,Cincinnati Northern Kentucky International Airport,Cincinnati / Covington,US,39.048801,-84.667801
YSSY,SYD,Sydney Kingsford Smith International Airport,Sydney (Mascot),AU,-33.946098,151.177002
VTBS,BKK,Suvarnabhumi Airport,Bangkok,TH,13.6811,100.747002
LIMC,MXP,Milan Malpensa International Airport,Ferno (VA),IT,45.6306,8.72811
MMUN,CUN,Cancún International Airport,Cancún,MX,21.040817,-86.87347
KAUS,AUS,Austin Bergstrom International Airport,Austin,US,30.197535,-97.662015
KRDU,RDU,Raleigh-Durham International Airport,Raleigh/Durham,US,35.878659,-78.7873
LHBP,BUD,Budapest Liszt Ferenc International Airport,Budapest,HU,47.43018,19.262393
LGAV,ATH,Athens Eleftherios Venizelos International Airport,Spata-Artemida,GR,37.936401,23.9445
KPIT,PIT,Pittsburgh International Airport,Pittsburgh,US,40.491501,-80.232903
BIKF,KEF,Keflavik International Airport,Reykjavík,IS,63.985001,-22.6056
ENGM,OSL,Oslo-Gardermoen International Airport,Oslo (Gardermoen),NO,60.193901,11.1004
EGCC,MAN,Manchester Airport,"Manchester, Greater Manchester",GB,53.349375,-2.279521
LTBA,ISL,İstanbul Atatürk Airport,Istanbul(Bakırköy),TR,40.971913,28.823714
KSJC,SJC,Norman Y. Mineta San Jose International Airport,San Jose,US,37.362452,-121.929188
EFHK,HEL,Helsinki Vantaa Airport,Helsinki (Vantaa),FI,60.318363,24.963341
KSAT,SAT,San Antonio International Airport,San Antonio,US,29.533701,-98.469803
KSNA,SNA,John Wayne Orange County International Airport,Santa Ana,US,33.675063,-117.869281
KOAK,OAK,San Francisco Bay Oakland International Airport,Oakland,US,37.720085,-122.221184
EGPH,EDI,Edinburgh Airport,Edinburgh,GB,55.950145,-3.372288
KMCI,MCI,Kansas City International Airport,Kansas City,US,39.301699,-94.713893
LSGG,GVA,Geneva Cointrin International Airport,Geneva,CH,46.238098,6.10895
ZBAA,PEK,Beijing Capital International Airport,Beijing,CN,40.077349,116.596702
KMEM,MEM,Memphis International Airport,Memphis,US,35.043845,-89.97634
LFPO,ORY,Paris-Orly Airport,"Paris (Orly, Val-de-Marne)",FR,48.72333,2.37944
WMKK,KUL,Kuala Lumpur International Airport,Sepang,MY,2.74558,101.709999
KCLE,CLE,Cleveland Hopkins International Airport,Cleveland,US,41.411701,-81.8498
KDAL,DAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
KHOU,HOU,William P. Hobby Airport,Houston,US,29.645336,-95.276812
KIND,IND,Indianapolis International Airport,Indianapolis,US,39.7173,-86.294403
EDDL,DUS,Düsseldorf Airport,Düsseldorf,DE,51.289501,6.76678
CYYC,YYC,Calgary International Airport,Calgary,CA,51.118822,-114.009933
EGGW,LTN,London Luton Airport,"Luton, Luton",GB,51.874699,-0.368333
EPWA,WAW,Warsaw Chopin Airport,Warsaw,PL,52.165699,20.9671
LIPZ,VCE,Venice Marco Polo Airport,Venezia (VE),IT,45.505299,12.3519
MMMX,MEX,Mexico City Benito Juárez International Airport,Mexico City,MX,19.435822,-99.07033
LEPA,PMI,Palma de Mallorca Airport,Palma de Mallorca,ES,39.551701,2.73881
RKSI,ICN,Incheon International Airport,Seoul,KR,37.469101,126.450996
LEMG,AGP,Málaga-Costa del Sol Airport,Málaga,ES,36.6749,-4.49911
KCMH,CMH,John Glenn Columbus International Airport,Columbus,US,39.998001,-82.891899
LFMN,NCE,Nice-Côte d'Azur Airport,"Nice, Alpes-Maritimes",FR,43.658401,7.21587
VIDP,DEL,Indira Gandhi International Airport,New Delhi,IN,28.55563,77.09519
KABQ,ABQ,Albuquerque International Sunport,Albuquerque,US,35.039976,-106.608925
ZSPD,PVG,Shanghai Pudong International Airport,Shanghai (Pudong),CN,31.1434,121.805
YMML,MEL,Melbourne Airport,Melbourne,AU,-37.670732,144.837898
KMKE,MKE,General Mitchell International Airport,Milwaukee,US,42.947201,-87.896599
TJSJ,SJU,Luis Munoz Marin International Airport,San Juan,PR,18.4394,-66.001801
KJAX,JAX,Jacksonville International Airport,Jacksonville,US,30.492469,-81.687813
RJTT,HND,Tokyo Haneda International Airport,Tokyo,JP,35.549678,139.786958
FAOR,JNB,O.R. Tambo International Airport,Johannesburg,ZA,-26.140081,28.246801
EDDH,HAM,Hamburg Helmut Schmidt Airport,Hamburg,DE,53.630402,9.98823
EGPF,GLA,Glasgow Airport,Glasgow,GB,55.871899,-4.43306
SBGR,GRU,São Paulo/Guarulhos–Governor André Franco Montoro International Airport,São Paulo,BR,-23.431274,-46.469954
KTUS,TUS,Tucson International Airport,Tucson,US,32.115004,-110.938053
LLBG,TLV,Ben Gurion International Airport,Tel Aviv,IL,32.011398,34.8867
KBUF,BUF,Buffalo Niagara International Airport,Buffalo,US,42.940498,-78.732201
KBDL,BDL,Bradley International Airport,Hartford,US,41.938555,-72.688016
VTBD,DMK,Don Mueang International Airport,Bangkok,TH,13.9126,100.607002
EDDK,CGN,Cologne Bonn Airport,Köln (Cologne),DE,50.865898,7.14274
PANC,ANC,Ted Stevens Anchorage International Airport,Anchorage,US,61.179004,-149.992561
UUEE,SVO,Sheremetyevo International Airport,Moscow,RU,55.976858,37.41121
NZAA,AKL,Auckland International Airport,Auckland,NZ,-37.01199,174.786331
OTHH,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056
RCTP,TPE,Taiwan Taoyuan International Airport,Taoyuan,TW,25.0777,121.233002
SAEZ,EZE,Ezeiza International Airport - Ministro Pistarini,Buenos Aires (Ezeiza),AR,-34.8222,-58.5358
CYOW,YOW,Ottawa Macdonald-Cartier International Airport,Ottawa,CA,45.322498,-75.669197
HECA,CAI,Cairo International Airport,Cairo,EG,30.111534,31.396694
OMAA,AUH,Zayed International Airport,Abu Dhabi,AE,24.440966,54.649237
KOKC,OKC,OKC Will Rogers World Airport,Oklahoma City,US,35.393388,-97.598248
KSMF,SMF,Sacramento International Airport,Sacramento,US,38.6954,-121.591003
LIML,LIN,Milano Linate Airport,Segrate (MI),IT,45.445099,9.27674
VABB,BOM,Chhatrapati Shivaji Maharaj International Airport,Mumbai,IN,19.088699,72.867897
LMML,MLA,Malta International Airport,Valletta,MT,35.845932,14.491546
PHOG,OGG,Kahului International Airport,Kahului,US,20.896263,-156.431837
SPJC,LIM,Jorge Chávez International Airport,Lima,PE,-12.0219,-77.114305
YBBN,BNE,Brisbane International Airport,Brisbane,AU,-27.38419914245605,153.11700439453125
EGBB,BHX,Birmingham Airport,"Birmingham, West Midlands",GB,52.453899,-1.74803
WADD,DPS,Denpasar I Gusti Ngurah Rai International Airport,"Kuta, Badung",ID,-8.748409,115.167123
KBUR,BUR,Hollywood Burbank Airport,Burbank,US,34.202834,-118.35805
KCHS,CHS,Charleston International Airport,Charleston,US,32.896159,-80.038151
RPLL,MNL,Ninoy Aquino International Airport,Manila (Pasay),PH,14.5086,121.019997
KOMA,OMA,Eppley Airfield,Omaha,US,41.3032,-95.894096
KPBI,PBI,Palm Beach International Airport,West Palm Beach,US,26.683201,-80.095596
KPVD,PVD,Rhode Island T. F. Green International Airport,Providence/Warwick,US,41.725038,-71.425668
SBGL,GIG,Rio Galeão – Tom Jobim International Airport,Rio De Janeiro,BR,-22.809999,-43.250557
KSDF,SDF,Louisville Muhammad Ali International Airport,Louisville,US,38.1706,-85.735076
KRNO,RNO,Reno Tahoe International Airport,Reno,US,39.4991,-119.767998
EGLC,LCY,London City Airport,London,GB,51.505299,0.055278
GCLP,LPA,Gran Canaria Airport,Gran Canaria Island,ES,27.9319,-15.3866
LPPR,OPO,Francisco de Sá Carneiro Airport,Porto,PT,41.2481002808,-8.68138980865
SCEL,SCL,Comodoro Arturo Merino Benítez International Airport,Santiago,CL,-33.393001556396484,-70.78579711914062
